country,year,fossil_fuel_consumption,gas_consumption
Brunei,1900,,
Brunei,1901,,
Brunei,1902,,
Brunei,1903,,
Brunei,1904,,
Brunei,1905,,
Brunei,1906,,
Brunei,1907,,
Brunei,1908,,
Brunei,1909,,
Brunei,1910,,
Brunei,1911,,
Brunei,1912,,
Brunei,1913,,
Brunei,1914,,
Brunei,1915,,
Brunei,1916,,
Brunei,1917,,
Brunei,1918,,
Brunei,1919,,
Brunei,1920,,
Brunei,1921,,
Brunei,1922,,
Brunei,1923,,
Brunei,1924,,
Brunei,1925,,
Brunei,1926,,
Brunei,1927,,
Brunei,1928,,
Brunei,1929,,
Brunei,1930,,
Brunei,1931,,
Brunei,1932,,
Brunei,1933,,
Brunei,1934,,
Brunei,1935,,
Brunei,1936,,
Brunei,1937,,
Brunei,1938,,
Brunei,1939,,
Brunei,1940,,
Brunei,1941,,
Brunei,1942,,
Brunei,1943,,
Brunei,1944,,
Brunei,1945,,
Brunei,1946,,
Brunei,1947,,
Brunei,1948,,
Brunei,1949,,
Brunei,1950,,
Brunei,1951,,
Brunei,1952,,
Brunei,1953,,
Brunei,1954,,
Brunei,1955,,
Brunei,1956,,
Brunei,1957,,
Brunei,1958,,
Brunei,1959,,
Brunei,1960,,
Brunei,1961,,
Brunei,1962,,
Brunei,1963,,
Brunei,1964,,
Brunei,1965,,
Brunei,1966,,
Brunei,1967,,
Brunei,1968,,
Brunei,1969,,
Brunei,1970,,
Brunei,1971,,
Brunei,1972,,
Brunei,1973,,
Brunei,1974,,
Brunei,1975,,
Brunei,1976,,
Brunei,1977,,
Brunei,1978,,
Brunei,1979,,
Brunei,1980,,
Brunei,1981,,
Brunei,1982,,
Brunei,1983,,
Brunei,1984,,
Brunei,1985,,
Brunei,1986,,
Brunei,1987,,
Brunei,1988,,
Brunei,1989,,
Brunei,1990,,
Brunei,1991,,
Brunei,1992,,
Brunei,1993,,
Brunei,1994,,
Brunei,1995,,
Brunei,1996,,
Brunei,1997,,
Brunei,1998,,
Brunei,1999,,
Brunei,2000,,
Brunei,2001,,
Brunei,2002,,
Brunei,2003,,
Brunei,2004,,
Brunei,2005,,
Brunei,2006,,
Brunei,2007,,
Brunei,2008,,
Brunei,2009,,
Brunei,2010,,
Brunei,2011,,
Brunei,2012,,
Brunei,2013,,
Brunei,2014,,
Brunei,2015,,
Brunei,2016,,
Brunei,2017,,
Brunei,2018,,
Brunei,2019,,
Cambodia,1980,,
Cambodia,1981,,
Cambodia,1982,,
Cambodia,1983,,
Cambodia,1984,,
Cambodia,1985,,
Cambodia,1986,,
Cambodia,1987,,
Cambodia,1988,,
Cambodia,1989,,
Cambodia,1990,,
Cambodia,1991,,
Cambodia,1992,,
Cambodia,1993,,
Cambodia,1994,,
Cambodia,1995,,
Cambodia,1996,,
Cambodia,1997,,
Cambodia,1998,,
Cambodia,1999,,
Cambodia,2000,,
Cambodia,2001,,
Cambodia,2002,,
Cambodia,2003,,
Cambodia,2004,,
Cambodia,2005,,
Cambodia,2006,,
Cambodia,2007,,
Cambodia,2008,,
Cambodia,2009,,
Cambodia,2010,,
Cambodia,2011,,
Cambodia,2012,,
Cambodia,2013,,
Cambodia,2014,,
Cambodia,2015,,
Cambodia,2016,,
Cambodia,2017,,
Cambodia,2018,,
Cambodia,2019,,
Indonesia,1900,,
Indonesia,1901,,
Indonesia,1902,,
Indonesia,1903,,
Indonesia,1904,,
Indonesia,1905,,
Indonesia,1906,,
Indonesia,1907,,
Indonesia,1908,,
Indonesia,1909,,
Indonesia,1910,,
Indonesia,1911,,
Indonesia,1912,,
Indonesia,1913,,
Indonesia,1914,,
Indonesia,1915,,
Indonesia,1916,,
Indonesia,1917,,
Indonesia,1918,,
Indonesia,1919,,
Indonesia,1920,,
Indonesia,1921,,
Indonesia,1922,,
Indonesia,1923,,
Indonesia,1924,,
Indonesia,1925,,
Indonesia,1926,,
Indonesia,1927,,
Indonesia,1928,,
Indonesia,1929,,
Indonesia,1930,,
Indonesia,1931,,
Indonesia,1932,,
Indonesia,1933,,
Indonesia,1934,,
Indonesia,1935,,
Indonesia,1936,,
Indonesia,1937,,
Indonesia,1938,,
Indonesia,1939,,
Indonesia,1940,,
Indonesia,1941,,
Indonesia,1942,,
Indonesia,1943,,
Indonesia,1944,,
Indonesia,1945,,
Indonesia,1946,,
Indonesia,1947,,
Indonesia,1948,,
Indonesia,1949,,
Indonesia,1950,,
Indonesia,1951,,
Indonesia,1952,,
Indonesia,1953,,
Indonesia,1954,,
Indonesia,1955,,
Indonesia,1956,,
Indonesia,1957,,
Indonesia,1958,,
Indonesia,1959,,
Indonesia,1960,,
Indonesia,1961,,
Indonesia,1962,,
Indonesia,1963,,
Indonesia,1964,,
Indonesia,1965,79.119,5.075
Indonesia,1966,76.879,5.177
Indonesia,1967,75.017,6.323
Indonesia,1968,78.69,6.425
Indonesia,1969,89.606,12.109
Indonesia,1970,94.58,12.576
Indonesia,1971,97.825,12.718
Indonesia,1972,104.421,12.474
Indonesia,1973,117.274,8.12
Indonesia,1974,125.508,11.439
Indonesia,1975,154.58,23.65
